peninsular_rank,state,district,code_state_district,population,pop_cagr,youth_share,household_total,housing_total,household_size_avg,area_km2,income_mean,income_median,expenditure_mean,gini,poverty,pop_density,demand_index,n_7-Eleven,n_99 Speedmart,n_FamilyMart,n_KKmart,n_myNEWS,kkmart_count,total_stores,competitor_count,stores_per_100k,kkmart_per_100k,kkmart_share,saturation_ratio,saturation_level,supply_index,whitespace_score,category,region,saturation_vs_peninsular,headroom_to_par,kkmart_fair_gap
47,Pulau Pinang,Seberang Perai Utara,7_2,351000.0,0.0086600769533804,0.425071225071225,86971.0,117475.0,3.8,268,7330,6103,4432,0.34971,3.7,1309.7014925373137,0.2078,21,41,5,1,1,1,69,68,19.66,0.28,0.014,0.873,balanced,0.324,-0.1162,competitive,North,0.759,22,9
48,Pahang,Raub,6_7,100100.0,0.0102472396065576,0.4475524475524475,22918.0,25294.0,4.1,2269,5445,4375,4247,0.25701,2.3,44.11635081533715,0.1304,6,6,2,1,0,1,15,14,14.99,1.0,0.067,0.666,balanced,0.2471,-0.1167,competitive,Central/East Coast,0.579,11,1
49,Perak,Kerian,8_4,169600.0,0.004773405316484,0.4074292452830188,40251.0,49899.0,4.1,938,5276,3996,3615,0.36419,8.7,180.8102345415778,0.1159,7,15,1,1,0,1,24,23,14.15,0.59,0.042,0.629,balanced,0.2332,-0.1173,low_demand,North,0.546,20,2
50,Negeri Sembilan,Jelebu,5_1,48700.0,0.0138110230722221,0.3716632443531827,11129.0,13349.0,4.1,1354,4445,3636,3457,0.32552,7.3,35.967503692762186,0.078,3,3,0,0,0,0,6,6,12.32,0.0,0.0,0.547,balanced,0.2031,-0.1251,low_demand,Central/East Coast,0.476,7,1
51,Kedah,Kubang Pasu,2_5,253400.0,0.0160116553661735,0.4127861089187056,58695.0,72463.0,3.9,946,6221,5201,4062,0.32483,3.3,267.8646934460888,0.1546,12,28,3,0,1,0,44,44,17.36,0.0,0.0,0.771,balanced,0.2861,-0.1315,competitor_led,North,0.67,22,6
52,Perak,Perak Tengah,8_9,98700.0,0.0106633198327497,0.4690982776089158,28763.0,35318.0,3.5,1282,5956,4564,3744,0.39074,11.1,76.98907956318253,0.13,5,7,1,2,1,2,16,14,16.21,2.03,0.125,0.72,balanced,0.2672,-0.1372,competitive,North,0.626,10,0
53,Pahang,Bera,6_11,101000.0,0.0073098752156806,0.4267326732673267,23378.0,25667.0,4.2,2214,4567,3866,3453,0.25588,8.5,45.61878952122854,0.1037,6,9,0,0,0,0,15,15,14.85,0.0,0.0,0.66,balanced,0.2448,-0.1411,low_demand,Central/East Coast,0.573,11,2
54,Kedah,Yan,2_10,74700.0,0.0043986850687876,0.4163319946452476,16927.0,17983.0,4.3,246,4637,4080,3339,0.29118,6.0,303.6585365853659,0.096,3,6,2,0,0,0,11,11,14.73,0.0,0.0,0.654,balanced,0.2428,-0.1468,low_demand,North,0.569,8,2
55,Johor,Kulai,1_9,351400.0,0.0162173012318498,0.4615822424587364,77199.0,83756.0,3.7,756,9177,7460,5646,0.33673,0.4,464.8148148148149,0.2299,26,40,3,11,1,11,81,70,23.05,3.13,0.136,1.024,balanced,0.3799,-0.15,competitive,South,0.89,10,1
56,Johor,Muar,1_6,323300.0,0.0066830244567899,0.4460253634395298,69603.0,79980.0,4.2,1393,7572,5724,4740,0.39413,6.1,232.08901651112703,0.186,24,31,4,5,2,5,66,61,20.41,1.55,0.076,0.907,balanced,0.3364,-0.1504,competitive,South,0.788,18,5
57,Johor,Kluang,1_3,333800.0,0.0076329762645339,0.4529658478130616,81993.0,94101.0,3.7,2865,6461,5204,4399,0.35367,7.2,116.50959860383944,0.1844,30,29,3,5,2,5,69,64,20.67,1.5,0.072,0.918,balanced,0.3407,-0.1563,competitive,South,0.798,17,5
58,Kedah,Kota Setar,2_3,381800.0,0.005106436113959,0.4127815610267155,95942.0,109919.0,3.8,420,5959,4751,4253,0.34795,5.1,909.047619047619,0.1943,36,40,5,0,4,0,85,85,22.26,0.0,0.0,0.989,balanced,0.3669,-0.1726,competitor_led,North,0.859,14,12
59,Perak,Hulu Perak,8_8,98300.0,0.0083080865817009,0.4181078331637843,24679.0,30325.0,3.8,6613,4891,3467,2889,0.3989,16.3,14.864660517163164,0.0885,6,10,0,0,0,0,16,16,16.28,0.0,0.0,0.723,balanced,0.2683,-0.1798,low_demand,North,0.628,9,2
